"Larry","The","Launcher"
"0","102624.75","22.37"
"0.20487190000000055","102635.00","22.50"
"0.8252574000000017","102627.25","22.44"
"0.9758025000000004","102638.25","22.50"
"1.373069300000001","102637.75","22.50"
"1.7663957000000003","102640.00","22.56"
"2.1364070999999996","102639.75","22.56"
"2.768784700000001","102639.75","22.56"
"3.3883402999999994","102636.75","22.56"
"3.5857414","102636.00","22.56"
"4.198859500000001","102629.00","22.50"
"4.3542579","102640.25","22.56"
"5.019834100000001","102634.75","22.50"
"5.434272","102639.75","22.56"
"5.632698900000001","102634.00","22.56"
"6.276188400000002","102632.00","22.50"
"6.533221699999999","102642.25","22.56"
"7.080702299999999","102632.00","22.50"
"7.394261700000001","102638.50","22.56"
"7.987960899999997","102633.50","22.56"
"8.400357499999998","102635.75","22.56"
"8.605156000000001","102635.50","22.56"
"8.9550227","102637.50","22.56"
"9.3452476","102639.00","22.56"
"9.903137700000002","102635.75","22.56"
"10.114555000000003","102637.00","22.56"
"10.470764500000001","102631.50","22.56"
"10.874043399999998","102633.00","22.56"
"11.571289399999998","102639.50","22.56"
"11.791244300000002","102638.25","22.56"
"12.064333099999999","102634.25","22.56"
"12.701263699999998","102635.25","22.56"
"12.9027885","102636.75","22.56"
"13.514854","102631.25","22.56"
"13.927205700000002","102640.25","22.56"
"14.1301737","102637.50","22.56"
"14.848709300000003","102631.75","22.56"
"15.260801","102640.25","22.56"
"15.720606000000004","102635.50","22.56"
"15.951887800000002","102633.75","22.56"
"16.528978799999997","102636.50","22.56"
"16.7640805","102640.50","22.56"
"17.1337696","102631.50","22.50"
"17.533558400000004","102637.75","22.56"
"17.893952900000002","102640.25","22.56"
"18.276485100000002","102639.75","22.56"
"18.651867799999998","102641.25","22.56"
"19.064257500000004","102639.50","22.56"
"19.4252071","102640.75","22.56"
"20.0706001","102640.25","22.56"
"20.234354600000003","102643.50","22.56"
"20.889791799999998","102639.25","22.56"
"21.052326200000003","102639.00","22.56"
"21.709008500000003","102642.25","22.56"
"21.9130403","102642.50","22.56"
"22.2612649","102637.50","22.56"
"22.655688500000004","102644.00","22.56"
"23.0174313","102645.50","22.56"
"23.5738383","102643.75","22.56"
"24.063826400000004","102645.75","22.56"
"24.234731000000004","102643.75","22.56"
"24.6792418","102640.25","22.56"
"25.024418400000002","102645.25","22.56"
"25.375010600000003","102644.00","22.56"
"26.0094226","102645.75","22.56"
"26.214444","102643.75","22.56"
"26.554723000000003","102641.25","22.56"
"27.23879","102646.00","22.56"
"27.659920300000003","102645.25","22.56"
"27.813505499999998","102640.25","22.56"
"28.469140000000003","102645.25","22.56"
"28.661830000000002","102644.00","22.56"
"29.2867312","102647.25","22.56"
"29.6994551","102648.75","22.56"
"29.902356500000003","102642.25","22.50"
"30.5156146","102644.75","22.56"
"30.6730126","102647.75","22.56"
"31.336905","102644.25","22.50"
"31.4946031","102645.75","22.56"
"32.156188300000004","102648.50","22.56"
"32.3106432","102650.00","22.56"
"32.7043759","102646.50","22.56"
"33.0913527","102650.00","22.56"
"33.471013400000004","102650.25","22.56"
"33.8441065","102650.75","22.56"
"34.5122482","102651.00","22.56"
"34.714775","102647.25","22.56"
"35.226822","102651.00","22.56"
"35.4316591","102653.25","22.56"
"36.0450557","102648.75","22.56"
"36.3756679","102648.75","22.56"
"36.864027300000004","102646.75","22.56"
"37.069168","102649.75","22.56"
"37.7240174","102645.50","22.56"
"37.954314200000006","102649.25","22.56"
"38.61154440000001","102641.50","22.50"
"38.803626900000005","102646.00","22.56"
"39.1584765","102642.25","22.50"
"39.5442174","102643.75","22.56"
"40.0536428","102648.75","22.56"
"40.653040499999996","102644.25","22.56"
"40.8133338","102649.00","22.56"
"41.476480900000006","102634.50","22.50"
"41.6296317","102648.25","22.56"
"42.2308595","102646.75","22.50"
"42.4576477","102650.75","22.56"
"43.020615600000006","102646.25","22.50"
"43.521162499999996","102645.50","22.50"
"43.724719799999995","102647.25","22.50"
"44.0538517","102643.50","22.50"
"44.466562200000006","102650.25","22.56"
"45.056669899999996","102647.00","22.56"
"45.2237206","102648.25","22.56"
"45.593688699999994","102648.50","22.56"
"45.9992947","102649.50","22.56"
"46.4108398","102646.50","22.50"
"46.9261801","102647.75","22.56"
"47.412565300000004","102648.50","22.56"
"47.572072","102647.25","22.50"
"48.143469200000006","102646.25","22.50"
"48.7439843","102647.25","22.50"
"48.90186310000001","102645.75","22.50"
"49.5642884","102645.50","22.50"
"49.7233946","102649.50","22.50"
"50.0942506","102643.50","22.50"
"50.47474210000001","102650.75","22.56"
"51.1002176","102650.00","22.50"
"51.26609079999999","102652.50","22.56"
"51.918772800000006","102649.75","22.50"
"52.124007299999995","102652.75","22.56"
"52.73681079999999","102650.75","22.50"
"52.9416503","102650.00","22.50"
"53.2689229","102648.75","22.50"
"53.670555","102654.00","22.50"
"54.184738700000004","102648.25","22.50"
"54.444840000000006","102648.25","22.50"
"55.0915833","102651.00","22.50"
"55.25128780000001","102654.25","22.50"
"55.6338831","102648.00","22.50"
"56.028370900000006","102652.25","22.50"
"56.936848700000006","102654.25","22.50"
"57.155100999999995","102655.00","22.50"
"57.658958899999995","102643.00","22.44"
"57.8115991","102647.00","22.50"
"58.3830431","102648.75","22.50"
"58.821920299999995","102653.50","22.50"
"59.2354056","102649.50","22.50"
"59.806493499999995","102651.75","22.50"
"60.215684399999994","102650.75","22.50"
"60.6247019","102645.25","22.44"
"60.784867","102649.50","22.50"
"61.44095119999999","102651.50","22.50"
"61.763409700000004","102652.75","22.50"
"62.0338801","102651.75","22.50"
"62.383889200000006","102650.75","22.50"
"62.795207999999995","102653.00","22.50"
"63.1647944","102658.00","22.50"
"63.5520977","102653.00","22.50"
"63.904998400000004","102651.25","22.50"
"64.2887604","102655.50","22.50"
"64.83434729999999","102650.75","22.50"
"65.10494639999999","102652.75","22.50"
"65.84677529999999","102649.25","22.50"
"66.06517790000001","102649.00","22.50"
"66.33520910000001","102652.50","22.50"
"66.68494949999999","102648.00","22.50"
"67.09525310000001","102652.25","22.50"
"67.68744459999999","102651.75","22.50"
"67.8922909","102651.50","22.50"
"68.3027294","102651.25","22.50"
"68.6220078","102646.00","22.44"
"69.04701320000001","102652.25","22.50"
"69.4425412","102651.75","22.50"
"70.0442677","102651.25","22.50"
"70.45229750000001","102650.25","22.50"
"70.65711340000001","102648.50","22.44"
"71.2745219","102650.75","22.50"
"71.67986540000001","102652.50","22.50"
"71.8441824","102647.25","22.44"
"72.50037420000001","102648.25","22.44"
"72.70470130000001","102652.50","22.50"
"73.31945390000001","102651.50","22.50"
"73.52346800000001","102651.75","22.50"
"73.86534","102649.00","22.44"
"74.44810989999999","102656.25","22.50"
"74.6078871","102654.25","22.50"
"75.18546699999999","102652.75","22.50"
"75.777173","102652.25","22.44"
"75.982031","102652.00","22.44"
"76.6988522","102650.25","22.44"
"76.8134047","102650.50","22.44"
"77.16505939999999","102649.50","22.44"
"78.0432261","102652.75","22.44"
"78.15533110000001","102650.75","22.44"
"78.4153398","102651.75","22.44"
"78.9740759","102651.75","22.44"
"79.56629190000001","102654.25","22.44"
"79.79533280000001","102649.50","22.44"
"80.20540109999999","102649.50","22.44"
"80.69261359999999","102651.25","22.44"
"80.85518909999999","102652.00","22.44"
"81.5146727","102652.50","22.44"
"81.6742241","102651.50","22.44"
"82.4423161","102650.25","22.44"
"82.5964027","102650.75","22.44"
"83.1669225","102646.75","22.37"
"83.4317882","102656.00","22.44"
"83.98496879999999","102651.25","22.44"
"84.2343572","102656.50","22.44"
"84.89507929999999","102652.00","22.44"
"85.0533618","102652.75","22.44"
"85.43566290000001","102654.50","22.44"
"88.59545729999999","102656.75","22.44"
"88.85927860000001","102655.00","22.44"
"89.25493840000001","102640.25","22.25"
"90.0110597","102654.00","22.37"
"90.12934200000001","102648.75","22.37"
"90.4456912","102647.25","22.37"
"90.851483","102650.75","22.37"
"91.2142666","102654.75","22.37"
"91.95670229999999","102648.25","22.37"
"92.16150160000001","102653.50","22.37"
"92.7772627","102648.75","22.37"
"92.935293","102653.00","22.37"
"93.59426529999999","102653.00","22.37"
"93.7645623","102657.00","22.37"
"94.1743419","102646.75","22.37"
"94.5355482","102653.00","22.37"
"95.1312432","102654.75","22.37"
"95.46579360000001","102655.75","22.37"
"95.7174478","102653.50","22.37"
"96.36175","102651.50","22.37"
"96.5638557","102656.00","22.37"
"97.1791766","102646.75","22.37"
"97.48526050000001","102654.25","22.37"
"97.79601260000001","102653.75","22.37"
"98.1270293","102657.25","22.37"
"98.7151925","102655.25","22.37"
"98.8843626","102651.50","22.37"
"99.25055449999999","102657.00","22.37"
"99.6544413","102655.75","22.37"
"100.16404639999999","102653.25","22.37"
"100.44102480000001","102652.75","22.37"
"100.8240093","102649.00","22.37"
"101.1943641","102652.25","22.37"
"101.5584264","102656.50","22.37"
"102.19704439999998","102650.25","22.37"
"102.6244418","102652.00","22.37"
"102.88414829999999","102647.00","22.31"
"103.52829639999999","102650.75","22.31"
"103.73334069999999","102651.00","22.37"
"104.348297","102653.00","22.37"
"104.51442589999999","102654.75","22.37"
"105.1686765","102645.00","22.31"
"105.5973462","102649.00","22.31"
"105.8355268","102647.25","22.31"
"106.2546495","102647.50","22.31"
"106.6172559","102652.75","22.31"
"106.9977155","102657.50","22.37"
"107.6267593","102655.25","22.37"
"107.78757199999998","102654.50","22.37"
"108.65515209999998","102653.00","22.31"
"108.85401059999998","102654.75","22.37"
"109.0455337","102651.50","22.31"
"109.67688379999998","102653.50","22.31"
"109.8357748","102656.25","22.37"
"110.4915014","102651.50","22.31"
"110.65449319999999","102651.75","22.31"
"111.0351039","102654.50","22.31"
"111.44466249999999","102655.00","22.31"
"111.80297239999999","102657.00","22.37"
"112.54045639999998","102655.25","22.31"
"112.95206809999999","102654.00","22.31"
"113.1541243","102649.25","22.31"
"113.5166112","102653.25","22.31"
"113.9137681","102657.25","22.37"
"114.4075441","102657.00","22.31"
"114.81676529999999","102654.25","22.31"
"118.0738011","102656.50","22.31"
"118.58492099999998","102656.50","22.31"
"118.74603489999998","102640.00","22.19"
"119.149833","102647.25","22.25"
"119.5260098","102651.75","22.25"
"120.11722","102654.25","22.31"
"120.27681319999999","102653.00","22.31"
"120.66690939999998","102652.75","22.31"
"121.06563109999999","102653.50","22.31"
"121.65502849999999","102652.75","22.31"
"121.83561419999998","102652.75","22.31"
"122.57486839999999","102654.00","22.31"
"122.7797252","102658.50","22.31"
"123.18924629999998","102648.25","22.25"
"123.51129879999999","102654.00","22.31"
"123.87564319999998","102654.50","22.31"
