"Larry","The","Launcher"
"0","103373.25","22.69"
"0.7749101999999652","103377.25","22.69"
"1.1199383999999668","103376.00","22.69"
"1.503281999999956","103372.50","22.69"
"1.8939108999999803","103372.75","22.69"
"2.260211599999991","103372.50","22.69"
"2.646610599999974","103373.25","22.69"
"3.0236381999999935","103373.00","22.69"
"3.4056814999999574","103372.75","22.69"
"3.7846066999999834","103368.50","22.62"
"4.17614599999996","103370.75","22.62"
"4.545968700000003","103371.00","22.62"
"4.919732599999975","103370.50","22.62"
"5.309356600000001","103373.00","22.69"
"5.683805199999995","103371.00","22.62"
"6.0660029999999665","103372.25","22.62"
"6.443981299999962","103375.50","22.69"
"6.8242620999999986","103373.25","22.62"
"7.203657799999974","103371.75","22.62"
"7.590297999999962","103369.25","22.62"
"7.965042499999981","103374.00","22.62"
"8.344697099999962","103374.25","22.62"
"8.719853799999953","103369.00","22.62"
"9.103503199999977","103374.00","22.62"
"9.48615719999998","103370.00","22.62"
"9.863836899999967","103371.75","22.62"
"10.252864399999964","103373.25","22.62"
"10.645771799999977","103367.00","22.62"
"11.005320199999971","103370.50","22.62"
"11.384485999999981","103367.50","22.62"
"11.755341599999952","103371.75","22.62"
"12.122897999999964","103369.75","22.62"
"12.512648799999965","103369.25","22.62"
"12.884325099999955","103369.00","22.62"
"13.29361369999998","103367.75","22.62"
"13.645846899999981","103367.00","22.62"
"14.0257292","103366.75","22.62"
"14.404153000000008","103368.25","22.62"
"14.786676899999975","103362.25","22.56"
"15.1617483","103366.00","22.62"
"15.54436659999999","103364.75","22.62"
"15.923119100000008","103365.50","22.62"
"16.294647699999985","103366.50","22.62"
"16.671542199999976","103367.50","22.62"
"17.03848339999996","103368.00","22.62"
"17.42383239999998","103365.75","22.56"
"17.804468799999995","103367.25","22.62"
"18.224228299999993","103367.00","22.56"
"18.560613999999987","103368.50","22.62"
"18.934554300000002","103369.25","22.62"
"19.344444599999974","103367.50","22.56"
"19.694342199999994","103370.25","22.62"
"20.130350899999996","103365.75","22.56"
"20.44389239999998","103366.00","22.56"
"20.82837539999997","103371.25","22.56"
"21.20025069999997","103369.50","22.56"
"21.57961949999998","103376.00","22.62"
"21.98429619999996","103371.50","22.56"
"22.348145099999954","103370.75","22.56"
"22.72530499999999","103369.75","22.56"
"23.104737599999964","103371.00","22.56"
"23.534870099999978","103373.75","22.56"
"23.884762999999964","103373.75","22.56"
"24.239095799999973","103371.25","22.56"
"24.624079300000005","103375.50","22.56"
"25.00424399999997","103371.50","22.56"
"25.384552600000006","103370.50","22.56"
"25.76406959999997","103370.50","22.56"
"26.138388499999962","103369.75","22.56"
"26.525929599999984","103375.00","22.56"
"26.94114909999996","103372.75","22.56"
"27.2842675","103373.25","22.56"
"27.643870599999957","103367.75","22.56"
"28.026424299999974","103370.25","22.56"
"28.411817299999996","103370.00","22.56"
"28.787975700000004","103373.50","22.56"
"29.174739099999954","103371.00","22.56"
"29.552125899999965","103367.75","22.50"
"29.934500299999968","103369.50","22.56"
"30.325594999999964","103371.75","22.56"
"30.68686439999999","103370.50","22.56"
"31.064088699999957","103371.00","22.56"
"31.43509389999997","103368.00","22.56"
"31.824087099999986","103370.75","22.56"
"32.20010129999997","103370.25","22.56"
"32.60430829999996","103376.50","22.56"
"32.955049900000006","103382.00","22.56"
"33.3365369","103378.00","22.50"
"33.72476469999998","103381.50","22.56"
"34.1040878","103380.00","22.50"
"34.48490029999999","103379.00","22.50"
"34.86482539999997","103379.50","22.50"
"35.24379339999996","103384.75","22.56"
"35.62553509999998","103380.25","22.50"
"35.998310799999956","103380.00","22.50"
"36.374828699999966","103380.00","22.50"
"36.764321499999994","103378.00","22.50"
"37.14423019999998","103380.00","22.50"
