# Simulation 2 (Up to date)
# 601 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (90.2 m/s)
#
# Time (s),Altitude (m),Total velocity (m/s),Total acceleration (m/s²)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,15.958
0.01,7.9788e-4,0.15958,66.511
0.02,0.00572,0.82489,85.877
0.03,0.018264,1.684,87.159
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.039464,2.556,84.131
0.05,0.069233,3.3978,81.087
0.06,0.10727,4.209,81.103
0.07,0.15341,5.0205,83.224
0.08,0.20778,5.8531,85.347
0.09,0.27058,6.707,87.471
0.1,0.34203,7.5821,89.597
0.11,0.42233,8.4785,91.724
0.12,0.5117,9.3962,93.853
0.13,0.61036,10.335,95.502
0.13968,0.71483,11.26,94.357
0.14856,0.81856,12.099,92.908
0.15682,0.92173,12.867,91.546
# Event LAUNCHROD occurred at t=0.16459 seconds
0.16459,1.0245,13.579,90.257
0.17625,1.1889,14.629,87.899
0.19374,1.4581,16.159,84.356
0.21997,1.9108,18.357,80.024
0.25931,2.6947,21.487,75.5
0.30931,3.8631,25.247,71.877
0.35931,5.2155,28.846,69.548
0.40931,6.7448,32.328,67.313
0.45931,8.4454,35.697,65.674
0.50931,10.312,38.983,64.089
0.55931,12.342,42.189,62.479
0.60931,14.529,45.314,60.851
0.65931,16.871,48.357,59.207
0.70931,19.363,51.317,57.551
0.75931,22.001,54.193,55.88
0.80931,24.78,56.985,54.196
0.85931,27.697,59.691,52.5
0.90931,30.747,62.312,50.795
0.95931,33.926,64.846,49.139
1.0093,37.229,67.296,47.516
1.0593,40.652,69.663,45.868
1.1093,44.192,71.948,44.215
1.1593,47.844,74.15,42.556
1.2093,51.603,76.271,40.892
1.2593,55.466,78.309,39.224
1.3093,59.429,80.265,37.554
1.3593,63.488,82.139,35.881
1.4093,67.638,83.929,34.21
1.4593,71.875,85.637,32.541
1.5093,76.196,87.261,30.878
1.5593,80.596,88.802,29.218
1.6093,85.071,90.261,27.561
1.6593,89.616,91.636,25.908
1.7093,94.229,92.929,24.261
1.7593,98.903,94.14,22.582
1.8093,103.64,95.265,20.872
1.8593,108.42,96.304,19.165
1.9093,113.26,97.255,17.472
1.9593,118.14,98.121,15.772
2.0093,123.07,98.902,14.06
2.0593,128.03,99.599,12.358
2.1093,133.02,100.21,10.656
2.1593,138.04,100.74,8.9772
2.2093,143.08,101.19,7.3094
2.2593,148.15,101.55,5.6589
2.3093,153.23,101.84,4.025
2.3593,158.32,102.04,2.3943
2.4093,163.43,102.16,0.91631
2.4593,168.53,102.2,0.61958
2.5093,173.64,102.19,1.7014
2.5593,178.74,102.11,2.8495
2.6093,183.84,101.97,4.0252
2.6593,188.93,101.78,5.2034
2.7093,194.01,101.52,6.3781
2.7593,199.08,101.21,7.5336
2.8093,204.12,100.84,8.6556
2.8593,209.15,100.41,9.7256
2.9093,214.15,99.923,10.772
2.9593,219.13,99.386,11.815
3.0093,224.08,98.798,16.548
# Event BURNOUT occurred at t=3.0593 seconds
3.0593,229,97.974,17.487
3.1093,233.87,97.104,17.343
3.1593,238.7,96.24,17.204
3.2093,243.49,95.383,17.069
3.2593,248.24,94.533,16.944
3.3093,252.94,93.689,16.824
3.3593,257.6,92.851,16.701
3.4093,262.22,92.02,16.582
3.4593,266.79,91.195,16.45
3.5093,271.33,90.376,16.315
3.5593,275.82,89.564,16.187
3.6093,280.28,88.758,16.063
3.6593,284.69,87.958,15.945
3.7093,289.07,87.163,15.83
3.7593,293.4,86.375,15.718
3.8093,297.7,85.592,15.608
3.8593,301.95,84.814,15.5
3.9093,306.17,84.042,15.395
3.9593,310.35,83.274,15.293
4.0093,314.49,82.512,15.194
4.0593,318.6,81.755,15.101
4.1093,322.66,81.003,15.004
4.1593,326.69,80.256,14.903
4.2093,330.68,79.514,14.801
4.2593,334.63,78.777,14.701
4.3093,338.55,78.044,14.605
4.3593,342.43,77.316,14.512
4.4093,346.28,76.593,14.421
4.4593,350.08,75.874,14.332
4.5093,353.86,75.16,14.244
4.5593,357.59,74.45,14.159
4.6093,361.29,73.744,14.075
4.6593,364.96,73.042,13.993
4.7093,368.59,72.345,13.914
4.7593,372.19,71.651,13.838
4.8093,375.75,70.961,13.763
4.8593,379.28,70.275,13.693
4.9093,382.77,69.593,13.615
4.9593,386.23,68.915,13.54
5.0093,389.66,68.24,13.465
5.0593,393.05,67.569,13.393
5.1093,396.41,66.902,13.316
5.1593,399.73,66.238,13.243
5.2093,403.02,65.578,13.171
5.2593,406.28,64.922,13.101
5.3093,409.51,64.268,13.032
5.3593,412.7,63.619,12.967
5.4093,415.86,62.972,12.901
5.4593,418.99,62.329,12.839
5.5093,422.09,61.689,12.777
5.5593,425.15,61.052,12.714
5.6093,428.19,60.418,12.652
5.6593,431.19,59.787,12.591
5.7093,434.16,59.159,12.532
5.7593,437.1,58.534,12.474
5.8093,440.01,57.912,12.415
5.8593,442.88,57.293,12.359
5.9093,445.73,56.677,12.306
5.9593,448.54,56.063,12.253
6.0093,451.33,55.452,12.202
6.0593,454.08,54.844,12.15
6.1093,456.8,54.238,12.1
6.1593,459.5,53.635,12.05
6.2093,462.16,53.034,11.998
6.2593,464.79,52.436,11.942
6.3093,467.4,51.841,11.893
6.3593,469.97,51.248,11.839
6.4093,472.51,50.657,11.792
6.4593,475.03,50.069,11.745
6.5093,477.51,49.483,11.7
6.5593,479.97,48.899,11.657
6.6093,482.4,48.318,11.613
6.6593,484.79,47.739,11.569
6.7093,487.16,47.162,11.529
6.7593,489.5,46.587,11.492
6.8093,491.81,46.014,11.449
6.8593,494.1,45.443,11.411
6.9093,496.35,44.874,11.368
6.9593,498.58,44.307,11.329
7.0093,500.77,43.743,11.292
7.0593,502.94,43.18,11.252
7.1093,505.08,42.619,11.214
7.1593,507.2,42.06,11.173
7.2093,509.28,41.503,11.135
7.2593,511.34,40.947,11.1
7.3093,513.37,40.394,11.065
7.3593,515.37,39.842,11.029
7.4093,517.34,39.292,10.992
7.4593,519.29,38.744,10.957
7.5093,521.21,38.197,10.924
7.5593,523.1,37.653,10.893
7.6093,524.97,37.109,10.863
7.6593,526.8,36.567,10.835
7.7093,528.62,36.027,10.808
7.7593,530.4,35.488,10.78
7.8093,532.16,34.951,10.752
7.8593,533.88,34.415,10.726
7.9093,535.59,33.881,10.7
7.9593,537.26,33.348,10.678
8.0093,538.91,32.816,10.646
8.0593,540.54,32.286,10.617
8.1093,542.13,31.757,10.591
8.1593,543.7,31.229,10.565
8.2093,545.25,30.703,10.536
8.2593,546.76,30.179,10.513
8.3093,548.25,29.655,10.49
8.3593,549.72,29.133,10.464
8.4093,551.16,28.612,10.437
8.4593,552.57,28.092,10.408
8.5093,553.96,27.574,10.383
8.5593,555.32,27.057,10.361
8.6093,556.65,26.541,10.339
8.6593,557.96,26.026,10.316
8.7093,559.24,25.512,10.293
8.7593,560.5,24.999,10.273
8.8093,561.73,24.488,10.253
8.8593,562.94,23.977,10.233
8.9093,564.12,23.468,10.212
8.9593,565.27,22.959,10.193
9.0093,566.4,22.452,10.174
9.0593,567.5,21.945,10.154
9.1093,568.58,21.439,10.139
9.1593,569.64,20.935,10.126
9.2093,570.66,20.431,10.108
9.2593,571.67,19.928,10.095
9.3093,572.64,19.427,10.081
9.3593,573.59,18.926,10.067
9.4093,574.52,18.426,10.052
9.4593,575.42,17.927,10.038
9.5093,576.3,17.428,10.025
9.5593,577.15,16.931,10.013
9.6093,577.98,16.435,9.9978
9.6593,578.78,15.939,9.9842
9.7093,579.56,15.444,9.9706
9.7593,580.31,14.951,9.9601
9.8093,581.04,14.458,9.9493
9.8593,581.74,13.966,9.9391
9.9093,582.41,13.475,9.9289
9.9593,583.07,12.985,9.9175
10.009,583.69,12.496,9.9072
# Event EJECTION_CHARGE occurred at t=10.059 seconds
10.059,584.3,12.008,9.8973
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=10.06 seconds
10.113,584.91,12.387,9.8446
10.163,585.47,11.944,9.8405
10.214,586.01,11.503,9.8365
10.265,586.52,11.026,9.8326
10.316,587,10.538,9.8287
10.367,587.46,10.076,9.8252
10.418,587.9,9.5877,9.8218
10.469,588.31,9.1003,9.8185
10.52,588.69,8.6321,9.8155
10.571,589.05,8.181,9.8127
10.622,589.38,7.7316,9.81
10.673,589.69,7.3328,9.8077
10.724,589.97,6.9599,9.8055
10.775,590.23,6.5808,9.8035
10.826,590.46,6.2168,9.8016
10.877,590.66,5.8924,9.8
10.928,590.84,5.638,9.7985
10.979,591,5.3446,9.7971
11.03,591.13,5.0275,9.7958
11.081,591.23,4.7415,9.7946
11.132,591.31,4.461,9.7936
11.183,591.36,4.2075,9.7926
11.234,591.39,4.1263,9.7918
11.285,591.39,4.0109,9.7911
# Event APOGEE occurred at t=11.336 seconds
11.336,591.37,3.9638,9.7903
11.387,591.32,4.1508,9.7895
11.438,591.24,4.2699,9.7887
11.489,591.14,4.4324,9.7878
11.54,591.02,4.618,9.7869
11.591,590.86,4.8867,9.7857
11.643,590.69,5.1125,9.7846
11.694,590.48,5.4845,9.7831
11.745,590.26,5.7834,9.7816
11.796,590,6.1366,9.78
11.847,589.72,6.5903,9.7779
11.898,589.42,6.9329,9.776
11.949,589.09,7.4188,9.7736
12.001,588.73,7.8841,9.7711
12.052,588.35,8.3825,9.7683
12.103,587.94,8.7567,9.7657
12.154,587.51,9.2337,9.7626
12.205,587.05,9.6587,9.7596
12.257,586.56,10.186,9.756
12.308,586.05,10.618,9.7525
12.359,585.51,11.069,9.7489
12.41,584.95,11.573,9.7448
12.462,584.36,11.993,9.741
12.513,583.75,12.475,9.7367
12.565,583.11,12.942,9.7322
12.616,582.44,13.424,9.7276
12.667,581.75,13.882,9.7229
12.719,581.03,14.363,9.7179
12.77,580.28,14.843,9.7127
12.822,579.51,15.327,9.7073
12.873,578.72,15.818,9.7017
12.925,577.89,16.287,9.6961
12.976,577.04,16.743,9.6903
13.028,576.17,17.219,9.6843
13.08,575.26,17.69,9.6781
13.131,574.34,18.159,9.6717
13.183,573.38,18.66,9.665
13.235,572.4,19.154,9.6581
13.287,571.39,19.659,9.651
13.339,570.35,20.167,9.6436
13.391,569.29,20.664,9.6362
13.442,568.2,21.152,9.6286
13.494,567.09,21.66,9.6207
13.546,565.94,22.149,9.6127
13.598,564.77,22.639,9.6046
13.651,563.58,23.144,9.5961
13.703,562.35,23.64,9.5876
13.755,561.1,24.108,9.5791
13.807,559.82,24.579,9.5704
13.859,558.52,25.05,9.5615
13.912,557.19,25.522,9.5524
13.964,555.83,26.012,9.543
14.017,554.44,26.496,9.5334
14.069,553.02,26.98,9.5237
14.122,551.58,27.489,9.5135
14.174,550.11,27.997,9.5032
14.227,548.61,28.489,9.4928
14.28,547.08,28.982,9.4823
14.333,545.52,29.485,9.4714
14.385,543.94,29.994,9.4603
14.438,542.33,30.491,9.4491
14.491,540.69,30.982,9.4378
14.544,539.02,31.48,9.4263
14.597,537.32,31.977,9.4145
14.651,535.59,32.466,9.4027
14.704,533.84,32.956,9.3906
14.757,532.05,33.465,9.3782
