Time,Altitude,Temp,Voltage
0,2,14.2C,4.12
0.05,3,14.2C,4.12
0.1,3,14.2C,4.12
0.15,2,14.2C,4.12
0.2,3,14.2C,4.12
0.25,2,14.2C,4.12
0.3,2,14.2C,4.12
0.35,3,14.2C,4.12
0.4,1,14.2C,4.12
0.45,1,14.2C,4.12
0.5,1,14.2C,4.12
0.55,4,14.2C,4.12
0.6,7,14.2C,4.12
0.65,7,14.2C,4.12
0.7,9,14.2C,4.12
0.75,14,14.2C,4.12
0.8,18,14.2C,4.12
0.85,22,14.2C,4.12
0.9,30,14.2C,4.12
0.95,37,14.2C,4.1
1,44,14.2C,4.11
1.05,49,14.2C,4.12
1.1,55,14.2C,4.12
1.15,61,14.2C,4.12
1.2,68,14.2C,4.12
1.25,76,14.2C,4.12
1.3,86,14.2C,4.12
1.35,95,14.2C,4.12
1.4,106,14.2C,4.12
1.45,117,14.2C,4.12
1.5,128,14.2C,4.12
1.55,141,14.2C,4.12
1.6,153,14.2C,4.12
1.65,165,14.2C,4.11
1.7,179,14.2C,4.12
1.75,192,14.2C,4.12
1.8,206,14.2C,4.12
1.85,224,14.2C,4.11
1.9,241,14.2C,4.12
1.95,254,14.2C,4.12
2,267,14.2C,4.12
2.05,282,14.2C,4.12
2.1,294,14.2C,4.11
2.15,309,14.2C,4.12
2.2,325,14.2C,4.12
2.25,340,14.2C,4.12
2.3,357,14.2C,4.12
2.35,375,14.2C,4.11
2.4,391,14.2C,4.12
2.45,407,14.2C,4.12
2.5,423,14.2C,4.11
2.55,438,14.2C,4.12
2.6,455,14.2C,4.12
2.65,472,14.2C,4.12
2.7,489,14.2C,4.12
2.75,503,14.2C,4.12
2.8,518,14.2C,4.12
2.85,535,14.2C,4.12
2.9,549,14.2C,4.12
2.95,568,14.2C,4.12
3,583,14.2C,4.12
3.05,596,14.2C,4.12
3.1,612,14.2C,4.12
3.15,627,14.2C,4.12
3.2,642,14.2C,4.12
3.25,657,14.2C,4.12
3.3,671,14.2C,4.11
3.35,686,14.2C,4.12
3.4,700,14.2C,4.12
3.45,715,14.2C,4.12
3.5,729,14.2C,4.11
3.55,743,14.2C,4.12
3.6,756,14.2C,4.11
3.65,769,14.2C,4.12
3.7,783,14.2C,4.12
3.75,798,14.2C,4.11
3.8,811,14.2C,4.12
3.85,825,14.2C,4.12
3.9,838,14.2C,4.12
3.95,850,14.2C,4.12
4,863,14.2C,4.12
4.05,876,14.2C,4.12
4.1,889,14.2C,4.12
4.15,901,14.2C,4.12
4.2,913,14.2C,4.12
4.25,925,14.2C,4.12
4.3,937,14.2C,4.12
4.35,949,14.2C,4.11
4.4,961,14.2C,4.12
4.45,973,14.2C,4.12
4.5,983,14.2C,4.12
4.55,996,14.2C,4.12
4.6,1007,14.2C,4.12
4.65,1018,14.2C,4.11
4.7,1030,14.2C,4.12
4.75,1040,14.2C,4.12
4.8,1052,14.2C,4.12
4.85,1062,14.2C,4.12
4.9,1073,14.2C,4.12
4.95,1084,14.2C,4.12
5,1094,14.2C,4.12
5.05,1106,14.2C,4.12
5.1,1116,14.2C,4.12
5.15,1127,14.2C,4.12
5.2,1138,14.2C,4.12
5.25,1148,14.2C,4.12
5.3,1159,14.2C,4.12
5.35,1169,14.2C,4.12
5.4,1179,14.2C,4.12
5.45,1189,14.2C,4.12
5.5,1200,14.2C,4.12
5.55,1211,14.2C,4.12
5.6,1220,14.2C,4.12
5.65,1230,14.2C,4.12
5.7,1239,14.2C,4.12
5.75,1249,14.2C,4.12
5.8,1257,14.2C,4.12
5.85,1266,14.2C,4.12
5.9,1277,14.2C,4.12
5.95,1283,14.2C,4.12
6,1292,14.2C,4.11
6.05,1302,14.2C,4.12
6.1,1309,14.2C,4.12
6.15,1320,14.2C,4.12
6.2,1331,14.2C,4.12
6.25,1338,14.2C,4.12
6.3,1345,14.2C,4.12
6.35,1357,14.2C,4.12
6.4,1363,14.2C,4.12
6.45,1369,14.2C,4.12
6.5,1379,14.2C,4.12
6.55,1386,14.2C,4.12
6.6,1396,14.2C,4.12
6.65,1405,14.2C,4.12
6.7,1414,14.2C,4.12
6.75,1419,14.2C,4.12
6.8,1428,14.2C,4.12
6.85,1436,14.2C,4.12
6.9,1443,14.2C,4.12
6.95,1452,14.2C,4.12
7,1461,14.2C,4.12
7.05,1469,14.2C,4.12
7.1,1475,14.2C,4.12
7.15,1482,14.2C,4.12
7.2,1489,14.2C,4.12
7.25,1497,14.2C,4.12
7.3,1504,14.2C,4.12
7.35,1511,14.2C,4.12
7.4,1517,14.2C,4.12
7.45,1524,14.2C,4.12
7.5,1530,14.2C,4.12
7.55,1537,14.2C,4.12
7.6,1543,14.2C,4.12
7.65,1549,14.2C,4.12
7.7,1556,14.2C,4.12
7.75,1561,14.2C,4.12
7.8,1567,14.2C,4.12
7.85,1574,14.2C,4.12
7.9,1579,14.2C,4.12
7.95,1584,14.2C,4.12
