"Larry","The","Launcher"
"0","102631.25","21.69"
"0.5751533999999765","102633.75","21.69"
"1.0232744999999568","102634.75","21.69"
"1.3599632000000383","102636.50","21.69"
"1.9430161999999882","102636.75","21.75"
"2.1456607999999733","102636.25","21.75"
"2.661818100000005","102633.50","21.69"
"2.8796614999999974","102632.25","21.69"
"3.4780212000000574","102633.75","21.69"
"3.63914120000004","102635.00","21.75"
"4.225475299999971","102632.50","21.69"
"4.80936029999998","102633.50","21.69"
"4.979793599999994","102634.50","21.69"
"5.629480899999976","102627.50","21.69"
"5.799346700000001","102632.25","21.69"
"6.450996799999984","102630.25","21.69"
"6.842892900000038","102633.00","21.69"
"7.2690205000000105","102628.25","21.69"
"7.473659399999974","102634.00","21.69"
"7.880081399999995","102628.50","21.69"
"8.208880199999953","102635.25","21.69"
"8.802190200000041","102633.00","21.69"
"9.007741600000031","102633.75","21.69"
"9.379017100000056","102631.25","21.69"
"10.135382899999968","102634.25","21.69"
"10.349890200000004","102629.50","21.69"
"10.952982200000065","102627.00","21.69"
"11.289888200000064","102633.50","21.69"
"11.539066100000014","102628.00","21.69"
"12.182063999999968","102632.00","21.69"
"12.339654500000051","102631.75","21.69"
"12.759427899999991","102628.00","21.69"
"13.180696200000057","102634.25","21.69"
"13.490182600000026","102631.25","21.69"
"14.131389399999989","102631.25","21.69"
"14.287655200000017","102636.25","21.75"
"14.949077099999954","102629.75","21.69"
"15.266848100000061","102635.25","21.69"
"15.531802500000026","102633.00","21.69"
"16.17593420000003","102630.75","21.69"
"16.59920390000002","102632.00","21.69"
"16.794306699999993","102628.50","21.69"
"17.200572299999976","102633.50","21.69"
"17.529657300000054","102633.00","21.69"
"17.92865119999999","102634.75","21.69"
"18.635292100000015","102636.25","21.69"
"18.837031600000046","102635.25","21.69"
"19.205007000000023","102629.50","21.69"
"19.579755399999954","102634.25","21.69"
"20.124516200000016","102635.75","21.69"
"20.588677299999972","102634.50","21.69"
"20.739521699999955","102634.25","21.69"
"21.315042800000015","102634.50","21.69"
"21.80793510000001","102635.25","21.69"
"22.12957389999997","102628.75","21.69"
"22.63066230000004","102633.00","21.69"
"22.790877300000034","102633.00","21.69"
"23.182334800000035","102635.00","21.69"
"23.550690799999984","102634.75","21.69"
"24.26962800000001","102637.50","21.69"
"24.438636400000064","102636.00","21.69"
"24.80968919999998","102632.25","21.69"
"25.255664300000035","102635.25","21.69"
"25.579494599999975","102633.00","21.69"
