"Larry","The","Launcher"
"0","103090.50","18.81"
"0.2636447999999998","103102.25","18.94"
"0.6463681999999995","103101.75","18.81"
"0.9971214999999995","103108.00","18.87"
"1.3770357999999998","103112.25","18.94"
"1.7623321999999995","103110.25","18.94"
"2.1519933","103111.25","18.94"
"2.5602599999999995","103112.00","19.00"
"2.9086501","103114.75","19.00"
"3.2918024999999993","103118.25","19.00"
"3.7416944999999995","103115.75","19.00"
"4.0294641","103113.50","19.00"
"4.538741099999999","103114.75","19.00"
"5.0544442","103113.00","19.00"
"5.3457694","103111.75","19.00"
"5.675707","103108.25","18.94"
"6.113724099999999","103111.50","19.00"
"6.4705016","103116.50","19.00"
"6.814007199999999","103114.75","19.00"
"7.521578999999999","103113.50","19.00"
"7.8559134","103113.50","19.00"
"8.2384295","103107.50","18.94"
"8.540549799999999","103117.00","19.00"
"8.994015599999999","103113.00","19.00"
"9.666978799999999","103113.00","19.00"
"10.0008059","103114.25","19.00"
"10.3559973","103108.75","18.94"
"10.6806825","103114.00","19.00"
"11.0598086","103113.75","19.00"
"11.4364213","103115.25","19.00"
"11.814048099999999","103113.75","19.00"
"12.1819121","103112.25","19.00"
"12.5711289","103114.00","19.00"
"12.9770086","103111.75","19.00"
"13.346083199999999","103114.25","19.06"
"13.7071515","103112.75","19.00"
"14.104554100000001","103112.50","19.00"
"14.480215399999999","103113.50","19.00"
"14.890682899999998","103113.00","19.00"
"15.536535099999998","103112.25","19.00"
"15.775424399999999","103110.75","19.00"
"17.5549987","103110.00","19.00"
"18.5241132","103110.50","19.00"
"18.687515","103102.50","18.94"
"18.9582678","103102.50","18.94"
"19.3674964","103105.75","18.94"
"19.6986553","103115.75","19.00"
"20.2071496","103117.00","19.00"
"20.4943003","103117.50","19.06"
"21.1511167","103114.25","19.00"
"21.4007795","103113.50","19.00"
"21.8002367","103108.00","19.00"
"22.1415564","103115.75","19.00"
"22.6772515","103115.50","19.06"
"22.9734778","103114.50","19.00"
"23.2875802","103114.50","19.00"
"23.7113837","103116.50","19.06"
"24.0434875","103120.00","19.06"
"24.4420761","103115.50","19.06"
"25.6872875","103118.75","19.06"
"25.9529721","103118.25","19.06"
"26.1956712","103109.50","18.94"
"26.5822777","103115.50","19.00"
"26.9568068","103115.25","19.00"
"27.3967631","103117.50","19.00"
"27.8988482","103114.75","19.00"
"28.3962236","103119.00","19.06"
"28.6487524","103117.50","19.00"
"29.0167296","103115.50","19.00"
"29.4172527","103120.25","19.06"
"29.786885599999998","103119.25","19.06"
"30.148142800000002","103120.25","19.06"
"30.567206300000002","103120.50","19.06"
"30.916942999999996","103116.75","19.06"
"31.2858295","103118.25","19.06"
"31.670251800000003","103117.75","19.06"
"32.0437846","103119.75","19.06"
"32.4152555","103120.00","19.06"
"32.8075444","103121.00","19.06"
"33.2083784","103118.25","19.06"
"33.5667494","103116.75","19.06"
"33.95039","103117.00","19.06"
"34.319322","103116.00","19.06"
"35.0982509","103120.00","19.06"
"35.3136407","103120.00","19.06"
"35.6935177","103107.25","19.00"
"36.0557586","103117.25","19.06"
"36.4607283","103116.75","19.06"
"36.8075077","103121.50","19.06"
"37.2047541","103121.25","19.06"
"37.5785999","103117.50","19.06"
"37.965594","103121.75","19.06"
"38.3472065","103117.50","19.06"
"38.7374397","103122.50","19.06"
"39.0975284","103123.00","19.06"
"39.4722978","103119.25","19.06"
"39.8782158","103119.50","19.06"
"40.2417795","103120.75","19.06"
"40.6071586","103123.00","19.06"
"40.9914502","103117.75","19.06"
"41.3905074","103119.50","19.06"
"41.7485412","103122.75","19.06"
"42.1309925","103120.75","19.06"
"42.515606","103122.25","19.06"
"42.8968167","103121.50","19.06"
"43.2673274","103120.50","19.06"
"43.6484601","103122.50","19.06"
"44.0170425","103121.75","19.06"
"44.419747","103124.75","19.06"
"44.7995381","103118.25","19.06"
"45.1695296","103121.75","19.06"
"45.558236","103118.25","19.06"
"45.9470285","103121.50","19.06"
"46.3363783","103124.00","19.06"
"46.6809572","103121.00","19.06"
"47.0555331","103120.25","19.06"
"47.4446629","103119.75","19.06"
"48.0138958","103119.50","19.06"
"48.246949","103124.50","19.12"
"48.5988761","103120.00","19.06"
"48.9987785","103120.25","19.06"
"49.4152168","103121.00","19.06"
"49.7512929","103118.25","19.06"
"50.1237232","103121.75","19.06"
"50.5175119","103124.25","19.06"
"51.0420303","103124.75","19.06"
"51.278663","103122.25","19.06"
"51.6581681","103122.25","19.06"
"52.0579623","103124.00","19.06"
"52.415585899999996","103122.25","19.06"
"52.7945479","103124.50","19.06"
"53.1898074","103127.75","19.12"
"53.5776582","103121.50","19.06"
"53.9473936","103121.25","19.06"
"54.3189384","103123.75","19.06"
"54.7283745","103122.75","19.06"
"55.1264111","103128.75","19.12"
"55.4507375","103122.25","19.06"
"55.8505963","103127.25","19.12"
"56.2338251","103122.25","19.06"
"56.6289149","103123.00","19.06"
"57.0154676","103125.25","19.06"
"57.3571377","103120.50","19.06"
"57.7485092","103126.50","19.12"
"58.1271741","103124.00","19.06"
"58.5086878","103124.75","19.06"
"58.8744462","103125.75","19.12"
"59.261308","103125.75","19.12"
"59.6316564","103124.25","19.06"
"60.0058441","103125.50","19.12"
"60.3957884","103121.75","19.06"
"60.767964","103124.75","19.12"
"61.1361236","103119.00","19.06"
"61.522241199999996","103121.25","19.06"
"61.91231560000001","103122.00","19.06"
"62.285100500000006","103121.75","19.06"
"62.655215000000005","103122.25","19.06"
"63.036466","103123.00","19.06"
"63.4391898","103124.75","19.12"
"63.808741500000004","103119.50","19.06"
"64.20826679999999","103114.75","19.06"
"64.59332470000001","103116.50","19.12"
"64.9550874","103117.50","19.06"
"65.3376596","103123.25","19.12"
"65.6984981","103123.50","19.12"
"66.12782290000001","103125.75","19.12"
"66.4594964","103125.75","19.12"
"66.84820450000001","103125.25","19.12"
"67.2291568","103122.50","19.06"
"67.59828630000001","103126.00","19.12"
"67.97485929999999","103120.50","19.06"
"68.3545039","103123.25","19.06"
"68.74438430000001","103125.25","19.12"
"69.1199679","103126.00","19.12"
"69.48924439999999","103125.25","19.12"
"69.8896389","103120.00","19.06"
"70.2773765","103126.50","19.12"
"70.63774140000001","103130.50","19.12"
"71.00871670000001","103121.75","19.06"
"71.38752400000001","103125.75","19.12"
"71.78239149999999","103122.25","19.06"
"72.16727510000001","103126.00","19.12"
"72.5388935","103123.00","19.06"
"72.9250725","103125.75","19.12"
"73.32057219999999","103124.75","19.12"
"73.69658079999999","103125.25","19.12"
"74.09753269999999","103127.75","19.12"
"74.72700939999999","103127.25","19.12"
"74.9358738","103125.25","19.12"
"75.3140675","103117.00","19.06"
"75.71693579999999","103127.00","19.12"
"76.0667981","103128.25","19.12"
"76.45758380000001","103127.50","19.12"
"76.8308111","103127.00","19.12"
"77.2155123","103129.00","19.12"
"77.59145799999999","103128.75","19.12"
"77.9601715","103126.25","19.12"
"78.3564236","103125.75","19.12"
"78.7390397","103126.00","19.12"
"79.10223149999999","103124.25","19.12"
"79.4899206","103128.00","19.12"
"79.87258750000001","103127.50","19.12"
"80.2369496","103128.00","19.12"
"80.6219003","103126.25","19.12"
"81.00240919999999","103125.25","19.12"
"81.37852280000001","103129.50","19.12"
"81.7585416","103125.50","19.12"
"82.13538500000001","103125.25","19.12"
"82.50748770000001","103128.75","19.12"
"82.89639389999999","103128.50","19.12"
"83.2669335","103128.25","19.12"
"83.6618824","103127.00","19.12"
"84.05454019999999","103128.50","19.12"
"84.4065727","103130.00","19.12"
"84.82035049999999","103129.25","19.12"
"85.1675094","103125.25","19.12"
"85.5579501","103128.25","19.12"
"85.9305453","103132.25","19.12"
"86.308402","103130.25","19.12"
"86.69763839999999","103126.50","19.12"
"87.07831959999999","103130.50","19.12"
"87.4495541","103130.25","19.12"
"87.81884779999999","103130.50","19.12"
"88.2146975","103131.75","19.12"
"88.5976886","103130.75","19.12"
"88.97870130000001","103133.00","19.12"
"89.36037920000001","103130.00","19.12"
"89.73735160000001","103128.75","19.12"
"90.1185978","103134.25","19.19"
"90.49301019999999","103130.00","19.12"
"90.90243520000001","103129.50","19.12"
"91.2745328","103129.25","19.12"
"91.62561160000001","103131.75","19.12"
"92.01359830000001","103134.50","19.19"
"92.376948","103132.75","19.12"
"92.7687177","103129.50","19.12"
"93.1387652","103131.75","19.12"
"93.51183950000001","103133.50","19.12"
"93.90177650000001","103130.75","19.12"
"94.2709678","103130.00","19.12"
"94.64737009999999","103131.00","19.12"
"95.03951670000001","103130.75","19.12"
"95.405926","103132.25","19.12"
"95.79342869999999","103130.25","19.12"
"96.1606246","103131.75","19.19"
"96.55214910000001","103132.75","19.19"
"96.9286136","103130.75","19.12"
"97.32109270000001","103134.25","19.19"
"97.69083660000001","103135.25","19.19"
"98.07879790000001","103128.00","19.12"
"98.4509548","103130.75","19.12"
"98.83398310000001","103132.00","19.19"
"99.21255310000001","103133.50","19.19"
"99.5886108","103131.25","19.19"
"99.9706774","103132.50","19.19"
"100.37595379999999","103130.00","19.12"
"100.79300380000001","103132.00","19.12"
"101.1248127","103131.75","19.19"
"101.52435740000001","103131.75","19.12"
"101.867582","103131.75","19.19"
"102.2330522","103130.25","19.12"
"102.6088082","103135.00","19.19"
"102.97664130000001","103134.50","19.19"
"103.39380460000001","103132.25","19.19"
"103.73826059999999","103138.00","19.19"
"104.13150099999999","103134.25","19.19"
"104.49776460000001","103131.00","19.12"
"104.89008580000001","103130.00","19.12"
"105.3115445","103134.00","19.19"
"105.63977539999999","103132.50","19.19"
"106.03847139999999","103132.50","19.19"
"106.38598619999999","103135.00","19.19"
"106.76774069999999","103131.00","19.12"
"107.1588453","103131.75","19.19"
"107.5398285","103133.25","19.19"
"107.93164580000001","103134.00","19.19"
"108.3792623","103134.00","19.19"
"108.8386504","103131.00","19.19"
"109.05851620000001","103129.25","19.12"
"109.6079499","103132.75","19.19"
"109.8625681","103131.75","19.19"
"110.27832280000001","103131.25","19.12"
"110.61869709999999","103134.50","19.19"
"111.0079326","103134.50","19.19"
"111.3808735","103135.50","19.19"
"111.7586939","103134.50","19.19"
"112.12805750000001","103133.50","19.19"
"112.540467","103131.50","19.19"
"112.88872359999999","103132.00","19.19"
"113.40271000000001","103134.00","19.19"
"113.69235839999999","103132.75","19.19"
"114.02202679999999","103133.00","19.19"
"114.4086949","103131.75","19.19"
"114.7927283","103134.50","19.19"
"115.169104","103132.75","19.19"
"115.54832160000001","103135.25","19.19"
"115.9193894","103133.00","19.19"
"116.30740420000001","103135.25","19.19"
"116.6798714","103137.00","19.19"
"117.058967","103133.00","19.19"
"117.44905259999999","103137.00","19.19"
